timestamp,sensor_id,sensor_id_encoded,temperature,humidity
2025-02-01 00:00:00,S2,0,-0.012237,-0.379553
2025-02-01 01:00:00,S3,1,3.134534,-5.462846
2025-02-01 02:00:00,S1,2,-0.012237,0.891271
2025-02-01 03:00:00,S2,0,-0.012237,-0.379553
2025-02-01 04:00:00,S3,1,1.298917,-2.794117
2025-02-01 05:00:00,S3,1,0.687045,-1.989262
2025-02-01 06:00:00,S2,0,-0.012237,-0.167749
2025-02-01 07:00:00,S3,1,-0.536699,-0.083027
2025-02-01 08:00:00,S1,2,-0.012237,0.891271
2025-02-01 09:00:00,S2,0,-0.361879,0.044055
2025-02-01 10:00:00,S1,2,-0.012237,0.891271
2025-02-01 11:00:00,S2,0,-0.536699,0.255859
2025-02-01 12:00:00,S3,1,-0.536699,-0.083027
2025-02-01 13:00:00,S1,2,-0.361879,0.679467
2025-02-01 14:00:00,S1,2,-0.361879,0.340581
2025-02-01 15:00:00,S1,2,-0.536699,0.340581
2025-02-01 16:00:00,S2,0,0.512224,0.467663
2025-02-01 17:00:00,S2,0,0.512224,0.679467
2025-02-01 18:00:00,S3,1,-0.536699,0.340581
2025-02-01 19:00:00,S2,0,1.735969,0.552385
2025-02-01 20:00:00,S3,1,-0.71152,0.340581
2025-02-01 21:00:00,S1,2,-0.536699,0.128777
2025-02-01 22:00:00,S2,0,0.337404,0.340581
2025-02-01 23:00:00,S3,1,-0.886341,0.340581
2025-02-02 00:00:00,S3,1,-1.061161,-0.083027
2025-02-02 01:00:00,S1,2,-0.886341,0.467663
2025-02-02 02:00:00,S3,1,-1.061161,-0.083027
2025-02-02 03:00:00,S3,1,-1.061161,-0.167749
2025-02-02 04:00:00,S2,0,0.687045,0.340581
2025-02-02 05:00:00,S1,2,-1.061161,0.467663
2025-02-02 06:00:00,S1,2,-1.061161,0.467663
2025-02-02 07:00:00,S2,0,0.687045,0.679467
2025-02-02 08:00:00,S3,1,-0.886341,-0.167749
2025-02-02 09:00:00,S3,1,-0.536699,-0.294831
2025-02-02 10:00:00,S1,2,-0.886341,0.044055
2025-02-02 11:00:00,S2,0,2.08561,0.467663
2025-02-02 12:00:00,S3,1,-0.361879,-0.210109
2025-02-02 13:00:00,S1,2,-0.71152,-0.379553
2025-02-02 14:00:00,S3,1,-0.361879,-0.125388
2025-02-02 15:00:00,S2,0,3.134534,0.467663
2025-02-02 16:00:00,S1,2,-0.536699,0.044055
2025-02-02 17:00:00,S1,2,-0.536699,0.044055
2025-02-02 18:00:00,S1,2,-0.71152,0.255859
2025-02-02 19:00:00,S2,0,1.91079,0.467663
2025-02-02 20:00:00,S2,0,0.512224,0.891271
2025-02-02 21:00:00,S3,1,0.687045,-0.125388
2025-02-02 22:00:00,S1,2,-0.71152,-0.167749
2025-02-02 23:00:00,S1,2,0.512224,-0.167749
2025-02-03 00:00:00,S3,1,0.512224,0.213498
2025-02-03 01:00:00,S2,0,-0.536699,0.467663
